Unnamed: 0,Merged_ID,Region,Dataset,LAT,LONG,SEASON,CRLPARHA,GEN,EDU,SOCCAT,CRARHA,HHMEM,SPRODMR,HIFAG,INFRCR,DISMR,SOPER,SOILTEX,DCLASS,PCRR,PCRRB,SDATE,SDATE_rel,TDATE,TDATE_rel,HDATE,VARTYPE,EST_line,EST_binary,SRATEHA,IRRIAVA,IRRINU,WSEV,INSEV,DISEV,DRSEV,FLSEV,LOD,TOTSSP,TOTTSP,TOTMOP,TOTGYP,TOTBOR,TOTZNSO4,Organic_fert_kg_plot,N_in_NPK,N_in_NPKS,N_in_BOFERT,N_in_FTDOFERT,N_in_STDOFERT,N_in_TTDOFERT,BUREA,FTDUREA,FTDUREADY,STDUREA,STDUREADY,TTDUREA,TTDUREADY,BDAP,FTDDAP,FTDDAPDY,STDDAP,STDDAPDY,TTDDAP,TTDDAPDY,BNPK,FTDNPK,FTDNPKDY,STDNPK,STDNPKDY,TTDNPK,TTDNPKDY,BNPKS,FTDNPKS,FTDNPKSDY,STDNPKS,STDNPKSDY,TTDNPKS,TTDNPKSDY,BOFERTAT,FTDOFERTAT,FTDOFERTDY,STDOFERTAT,STDOFERTDY,TTDOFERTAT,TTDOFERTDY,FourthTDUREA,FourthTDUREADY,yield_kg_ha,FGPRICE_quintal,Urea_price,CRARHA_riceonly,Total_landholding_ha,Largest_plot_leased_or_owned,SoilGrids_bdod,SoilGrids_cfvo,SoilGrids_clay,SoilGrids_nitrogen,SoilGrids_ocd,SoilGrids_phh2o,SoilGrids_sand,SoilGrids_silt,SoilGrids_soc,year,total_precip,num_dry_days,num_wet_days,avg_dspell_length,avg_wspell_length,monsoon_onset,monsoon_retreat,Nursery_duration,Crop_duration,Field_duration,TDATE_yday,Transplanting_year,Harvest_year,monsoon_length,P2O5_ha,K2O_ha,GYP_ha,BOR_ha,Zn_ha,Organic_ha,UREA_N,DAP_N,NPK_N,NPKS_N,OFERT_N,Total_N,N_kg_ha,PFPn,Nperc_pre_7_DAT,MaxUnsplit_Nperc_within_1_days,Nperc_7to30_DAT,SDATE_year,TDATE_year,HDATE_year
16,AP_1011,AP,AP,15.5,79.81,Rabi,0.202343133485765,male,1.0,OBC,0.40468626697153,3.0,0.0,100.0,0.0,35.0,2.0,3.0,2.0,0.0,no,2018-09-15,76.0,2018-10-15,76.0,2019-02-28,Improved,Line,Transplanted,100.0,1.0,15.0,3.0,3.0,3.0,,,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1618.74506788612,0.15,0.15,0.0,0.0,0.0,0.0,25.0,25.0,30.0,0.0,,0.0,,25.0,25.0,30.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,25.0,25,30.0,0,,0,,,,6177.625,2000.0,,0.4,,Owned,1.39999997615814,9.0,31.0,1.89999997615814,2.59999990463257,7.19999980926514,39.0,30.0,37.4000015258789,2018.0,579.357666015625,286.0,79.0,20.2727279663086,9.0,177.0,290.0,30.0,166.0,136.0,288.0,2018.0,2019.0,113.0,113.6683,148.263,0.0,0.0,0.0,8000.0,23.0,9.0,0.0,0.0,0.0,32.0,158.1472,39.0625,50.0,49.9977236397482,50.0,2018,2018.0,2019.0
20,AP_1015,AP,AP,16.02,79.5,Kharif,0.202343133485765,male,1.0,General,0.40468626697153,4.0,0.0,0.0,0.0,25.0,2.0,2.0,1.0,60.0,yes,2018-07-03,2.0,2018-08-09,9.0,2018-12-14,Traditional_Local,Line,Transplanted,50.0,1.0,5.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0,0.0,,25.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0.0,0,,0,,0,,,,4942.1,2000.0,,0.4,,Owned,1.5,8.0,35.0,1.29999995231628,2.29999995231628,6.90000009536743,39.0,26.0,21.2999992370605,2018.0,644.890747070312,266.0,99.0,18.0,12.0,162.0,282.0,37.0,164.0,127.0,221.0,2018.0,2018.0,120.0,56.8341500000001,74.1315000000001,0.0,0.0,0.0,0.0,34.5,4.5,0.0,0.0,0.0,39.0,192.7419,25.6410256410256,41.025641025641,58.9700526974155,58.974358974359,2018,2018.0,2018.0
21,AP_1016,AP,AP,15.87,79.76,Kharif,0.202343133485765,male,1.0,General,0.40468626697153,5.0,0.0,0.0,0.0,24.0,2.0,2.0,1.0,60.0,yes,2018-07-13,12.0,2018-08-09,9.0,2018-12-06,Traditional_Local,Line,Transplanted,75.0,1.0,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,,0.15,0.15,0.0,0.0,0.0,0.0,25.0,25.0,15.0,25.0,15.0,0.0,,25.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0.0,0,,0,,0,,,,4942.1,2000.0,,0.4,,Owned,1.39999997615814,12.0,30.0,1.70000004768372,2.5,6.80000019073486,43.0,27.0,37.7000007629395,2018.0,616.814758300781,275.0,90.0,16.230770111084,10.0,173.0,283.0,27.0,146.0,119.0,221.0,2018.0,2018.0,110.0,56.8341500000001,74.1315000000001,0.0,0.0,0.0,,34.5,4.5,0.0,0.0,0.0,39.0,192.7419,25.6410256410256,41.025641025641,58.9700526974155,58.974358974359,2018,2018.0,2018.0
22,AP_1017,AP,AP,14.88,77.44,Kharif,0.40468626697153,male,2.0,OBC,1.21405880091459,5.0,60.0,60.0,75.0,20.0,2.0,2.0,3.0,5.0,no,2018-07-02,1.0,2018-08-10,10.0,2018-12-01,Hybrid,Random,Transplanted,75.0,1.0,8.0,1.0,2.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.15,0.15,0.0,0.0,0.0,0.0,0.0,50.0,20.0,50.0,50.0,0.0,,50.0,0.0,,0.0,,0.0,,0.0,50.0,20.0,0.0,,0.0,,0.0,0.0,,50.0,50.0,0,,0.0,0,,0,,0,,,,6177.625,1300.0,,1.2,,Owned,1.39999997615814,15.0,30.0,1.5,2.40000009536743,7.09999990463257,47.0,23.0,22.1000003814697,2018.0,354.350646972656,301.0,64.0,16.2000007629395,6.0,143.0,289.0,39.0,152.0,113.0,222.0,2018.0,2018.0,146.0,93.8999000000001,37.06575,0.0,0.0,0.0,,46.0,9.0,7.5,7.5,0.0,70.0,172.9735,35.7142857142857,12.8571428571429,43.5673672556779,43.5714285714286,2018,2018.0,2018.0
23,AP_1018,AP,AP,15.54,79.1,Kharif,0.40468626697153,male,3.0,OBC,0.40468626697153,5.0,0.0,100.0,0.0,20.0,2.0,2.0,3.0,60.0,no,2018-07-06,5.0,2018-08-10,10.0,2018-12-29,Improved,Line,Transplanted,75.0,1.0,8.0,1.0,3.0,3.0,,,0.0,0.0,0.0,50.0,0.0,0.0,20.0,2023.43133485765,0.15,0.15,0.0,0.0,0.0,0.0,0.0,50.0,25.0,50.0,50.0,0.0,,50.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0.0,0,,0,,0,,,,5189.205,3000.0,,0.4,,Owned,1.39999997615814,9.0,34.0,1.29999995231628,2.29999995231628,7.09999990463257,37.0,29.0,33.5,2018.0,617.791442871094,267.0,98.0,19.0909099578857,8.0,159.0,289.0,35.0,176.0,141.0,222.0,2018.0,2018.0,130.0,56.8341500000001,74.1315000000001,0.0,0.0,17.79156,5000.0,46.0,9.0,0.0,0.0,0.0,55.0,135.90775,38.1818181818182,16.3636363636364,41.8151282763492,41.8181818181818,2018,2018.0,2018.0
24,AP_1019,AP,AP,15.85,79.36,Kharif,0.202343133485765,male,3.0,OBC,0.809372533943061,4.0,10.0,100.0,20.0,25.0,2.0,2.0,3.0,80.0,no,2018-07-05,4.0,2018-08-10,10.0,2018-12-30,Improved,Line,Transplanted,75.0,1.0,13.0,1.0,3.0,3.0,,,0.0,0.0,0.0,25.0,0.0,0.0,10.0,2023.43133485765,0.15,0.15,0.0,0.0,0.0,0.0,0.0,25.0,20.0,25.0,50.0,0.0,,25.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,25.0,20.0,0.0,,0,,0.0,0,,0,,0,,,,5189.205,3000.0,,0.4,,Owned,1.39999997615814,9.0,33.0,1.20000004768372,2.20000004768372,7.30000019073486,39.0,28.0,33.7999992370605,2018.0,590.491088867188,273.0,92.0,17.25,9.6666669845581,173.0,283.0,36.0,178.0,142.0,222.0,2018.0,2018.0,110.0,75.3670250000001,92.6643750000001,0.0,0.0,17.79156,10000.0,23.0,4.5,0.0,3.75,0.0,31.25,154.440625,33.6,14.4,48.7954513263592,48.8,2018,2018.0,2018.0
26,AP_1020,AP,AP,15.54,79.1,Kharif,0.202343133485765,male,3.0,OBC,1.61874506788612,6.0,30.0,100.0,30.0,20.0,2.0,2.0,3.0,60.0,no,2018-07-06,5.0,2018-08-10,10.0,2018-12-31,Improved,Line,Transplanted,75.0,1.0,10.0,1.0,3.0,3.0,,,0.0,0.0,0.0,25.0,0.0,0.0,10.0,2023.43133485765,0.15,0.15,0.0,0.0,0.0,0.0,0.0,25.0,30.0,25.0,50.0,0.0,,25.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0.0,0,,0,,0,,,,4942.1,3000.0,,0.8,,Owned,1.39999997615814,9.0,34.0,1.29999995231628,2.29999995231628,7.09999990463257,37.0,29.0,33.5,2018.0,617.791442871094,267.0,98.0,19.0909099578857,8.0,159.0,289.0,35.0,178.0,143.0,222.0,2018.0,2018.0,130.0,56.8341500000001,74.1315000000001,0.0,0.0,17.79156,10000.0,23.0,4.5,0.0,0.0,0.0,27.5,135.90775,36.3636363636363,16.3636363636364,41.8151282763492,41.8181818181818,2018,2018.0,2018.0
27,AP_1021,AP,AP,16.01,79.5,Kharif,0.202343133485765,male,1.0,General,0.809372533943061,5.0,0.0,0.0,0.0,20.0,1.0,3.0,1.0,60.0,no,2018-07-12,11.0,2018-08-10,10.0,2018-12-06,Traditional_Local,Line,Transplanted,75.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,25.0,25.0,15.0,25.0,25.0,0.0,,25.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0.0,0,,0,,0,,,,4942.1,2000.0,,0.8,,Owned,1.5,8.0,35.0,1.29999995231628,2.29999995231628,6.90000009536743,39.0,26.0,21.2999992370605,2018.0,644.890747070312,266.0,99.0,18.0,12.0,162.0,282.0,29.0,147.0,118.0,222.0,2018.0,2018.0,120.0,56.8341500000001,74.1315000000001,0.0,0.0,0.0,0.0,34.5,4.5,0.0,0.0,0.0,39.0,192.7419,25.6410256410256,41.025641025641,41.0237732428703,58.974358974359,2018,2018.0,2018.0
28,AP_1022,AP,AP,16.02,79.5,Kharif,0.202343133485765,male,1.0,General,0.40468626697153,6.0,0.0,0.0,0.0,24.0,2.0,2.0,1.0,60.0,yes,2018-07-12,11.0,2018-08-10,10.0,2018-12-07,Traditional_Local,Line,Transplanted,75.0,1.0,11.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,15.0,0.0,,25.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0,,0.0,0,,0,,0,,,,4942.1,2000.0,,0.4,,Owned,1.5,8.0,35.0,1.29999995231628,2.29999995231628,6.90000009536743,39.0,26.0,21.2999992370605,2018.0,644.890747070312,266.0,99.0,18.0,12.0,162.0,282.0,29.0,148.0,119.0,222.0,2018.0,2018.0,120.0,56.8341500000001,74.1315000000001,0.0,0.0,0.0,0.0,34.5,4.5,0.0,0.0,0.0,39.0,192.7419,25.6410256410256,41.025641025641,41.0237732428703,58.974358974359,2018,2018.0,2018.0
29,AP_1023,AP,AP,15.51,79.53,Kharif,0.202343133485765,male,2.0,OBC,0.809372533943061,3.0,15.0,100.0,10.0,15.0,2.0,2.0,3.0,0.0,no,2018-07-08,7.0,2018-08-11,11.0,2018-12-31,Improved,Line,Transplanted,75.0,1.0,12.0,1.0,3.0,3.0,,,0.0,0.0,0.0,25.0,0.0,0.0,10.0,1011.71566742883,0.15,0.15,0.0,0.0,0.0,0.0,10.0,25.0,20.0,25.0,50.0,0.0,,25.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,25.0,20.0,0.0,,0,,0.0,0,,0,,0,,,,5189.205,2000.0,,0.4,,Owned,1.29999995231628,12.0,31.0,2.0,2.29999995231628,7.09999990463257,42.0,27.0,41.7999992370605,2018.0,545.382202148438,268.0,97.0,21.3333339691162,10.0,162.0,289.0,34.0,176.0,142.0,223.0,2018.0,2018.0,127.0,75.3670250000001,92.6643750000001,0.0,0.0,17.79156,5000.00000000002,27.6,4.5,0.0,3.75,0.0,35.85,177.174285,29.2887029288703,25.3835425383543,42.5343892314847,42.5383542538354,2018,2018.0,2018.0
