Variable,Description,Type,Unit
Merged_ID,Obeservation identification,Text,NA
Region,"Region of largest rice plot ('AP' refers to Andhra Pradesh, 'Bihar' referes to Bihar and neighbouring districts of eastern Uttar Pradesh, 'Odisha' refers to Odisha, 'Nepal' refers to the Terai of Nepal, 'Punjab_Haryana' refers to Punjab & Haryana)",Text,NA
Dataset,Survey in which observation was made,Text,NA
LAT,Latitude of largest rice plot (truncated to two decimal points to faciliate anonymity),Numeric,Decimal degrees
LONG,Longitude of largest rice plot (truncated to two decimal points to faciliate anonymity),Numeric,Decimal degrees
SEASON,Season in which largest rice plot was grown (simplified to 'Rabi' and 'Kharif'. 'Aman season in Bangladesh was categorized as Kharif. Season was also assumed to be kharif in Bangladesh when nursery estabalishment day was between 60 and 270 days after 1 January),Text,NA
CRLPARHA,Area of largest rice plot (i.e. of the largest rice field of a surveyed farmer),numeric,ha (assuming 1 hectare = 2.47105 acres)
GEN,Gender of surveyed farmer,Text,NA
EDU,"Education level of surveyed farmer ('1' refers to no formal schooling completed, '2' refers to primary education completed, '3' refers to matriculation completed, '4' refers to senior secondary completed, '5' refers to bachelors degree completed, '6' refers to masters degree completed, '7' refers to PhD completed)",Integer,Caterogical
SOCCAT,"Social category of surveyed farmer (India-surveys only: 'SC' refers to Scheduled Castes, ST refers to 'Scheduled Tribes', 'OBC' refers to Other Backward Classes, 'General' refers to General Category)",Text,Caterogical
CRARHA,"Total area of operational land during surveyed season, for rice and any other crop (ha)",Numeric,ha (assuming 1 hectare = 2.47105 acres)
HHMEM,Number of houehold members of surveyed farmer,Integer,Persons
SPRODMR,Share of total crop production sold to market,Numeric,%
HIFAG,Share of household income from agriculture,Numeric,%
INFRCR,Share of total agriculture income derived from selected crop,Numeric,%
DISMR,Distance to market for largest rice plot,Numeric,km
SOPER,"Farmer perceived soil quality of largest rice plot (1 - Low, 2 - Medium, 3 - High)",Integer,Caterogical
SOILTEX,"Farmer perceived soil texture of largest rice plot (1 - Light, 2 - Medium, 3 - Heavy)",Integer,Caterogical
DCLASS,"Farmer perceived drainage class of largest rice plot (1 - very lowland, 2 - lowland, 3 - mediumland, 4 - upland)",Integer,Caterogical
PCRR,What percentage of residue was retained from previous crop in largest rice plot,Numeric,%
PCRRB,Were previous crop residue burtn in largest rice plot (yes/no),Text,NA
SDATE,Date of establishing rice nursery or direct seeding rice for largest rice plot,Text,dd/mm/yyyy
SDATE_rel,Relative date of establishing rice nursery for largest rice plot (relative to median SDATE of surveyed region),Text,days
TDATE,Date of transplanting or direct seeding of rice in largest rice plot,Text,dd/mm/yyyy
TDATE_rel,Relative date of transplanting or direct seeding of rice in largest rice plot (relative to median TDATE of surveyed region),Numeric,days
HDATE,Date of harvest of largest rice plot,Text,dd/mm/yyyy
VARTYPE,"Type of rice variety in largest plot (basmati, local, improved, hybrid)",Text,Categorical
EST_line,Rice planted in rows ('Line') or randomly ('Random') in lagest rice plot,Text,Cateogrical
EST_binary,"Rice planted by direct seeding ('Direct_seed'), or by transplanting ('Transplanted') in largest rice plot",Text,Categorical
SRATEHA,Rate of rice seed used in largest rice plot,Numeric,kg/ha
IRRIAVA,Availability of irrigation in largest rice plot (yes/no),Text,NA
IRRINU,Number of irrigations during cropping season for largest rice plot,Numeric,Number of irrigation events
WSEV,"Farmer perceived weed severity during cropping season for largest rice plot (0 - none, 1 - low, 2 - medium, 3 - high)",Integer,Categorical
INSEV,"Farmer perceived insect pest severity during cropping season for largest rice plot (0 - none, 1 - low, 2 - medium, 3 - high)",Integer,Categorical
DISEV,"Farmer perceived crop disease severity during cropping season for largest rice plot (0 - none, 1 - low, 2 - medium, 3 - high)",Integer,Categorical
DRSEV,"Farmer perceived drought stress severity during cropping season for largest rice plot (0 - none, 1 - low, 2 - medium, 3 - high)",Integer,Categorical
